x, y(triple Product)
11.459218330730396, 1014.9020501356633
15.952069398968465, 265.45022095269684
24.47553904569384, 69.42913040830938
40.59296447593509, 23.008297104647763
55.96122271899006, 11.53715199979206
83.39248000868743, 6.641558309637433
142.40369416897425, 5.039129440556062
206.10306132728087, 4.940721050162776
338.5145465820801, 7.475869666167509
494.72759217264024, 13.508932507353274
716.0274004938153, 25.898595235580476
1347.6512835117992, 105.05420467971268
1653.1408556595352, 175.43303538995227
2256.9451144658365, 349.8623750727179
2822.956756, 644.7955878220679
3816.7180288994414, 1364.2808561969937
4915.290234, 2830.2198337479904
6147.979268688488, 5319.982047341468
7468.604063867911, 8373.600546444359
19.191037877205307, 141.21898787018367
12.753629690223969, 519.0431299678684
30.317277944941452, 39.96806300224864
107.3954742, 5.452766321324315
260.3112620550855, 6.137741842774484
411.2296102164074, 10.049428777499076
600.9982050893245, 18.521075135663583
1894.3701996453085, 245.31365266354814
46.51636426213229, 16.132770501932786
66.67202745801619, 8.414993395773848
1036.3174923038105, 52.67779367132209
